es,ar
hola,مرحبا
adiós,وداعا
gracias,شكرا
por favor,من فضلك
sí,نعم
no,لا
buenos días,صباح الخير
buenas noches,مساء الخير
amigo,صديق
familia,عائلة
escuela,مدرسة
trabajo,عمل
comida,طعام
agua,ماء
libro,كتاب
casa,منزل
niño,طفل
mujer,امرأة
hombre,رجل
amor,حب
padre,أب
madre,أم
hermano,أخ
hermana,أخت
hijo,ابن
hija,ابنة
abuelo,جد
abuela,جدة
tío,عم
tía,عمة
primo,ابن العم
prima,ابنة العم
amiga,صديقة
doctor,طبيب
enfermera,ممرضة
hospital,مستشفى
medicina,دواء
dinero,مال
banco,بنك
mercado,سوق
supermercado,سوبر ماركت
pan,خبز
leche,حليب
carne,لحم
pescado,سمك
pollo,دجاج
fruta,فاكهة
verdura,خضار
manzana,تفاحة
plátano,موز
naranja,برتقالة
limón,ليمون
tomate,طماطم
patata,بطاطس
cebolla,بصل
zanahoria,جزر
arroz,أرز
pasta,معكرونة
sal,ملح
azúcar,سكر
aceite,زيت
huevo,بيضة
queso,جبن
mantequilla,زبدة
café,قهوة
té,شاي
zumo,عصير
agua mineral,ماء معدني
cerveza,بيرة
vino,نبيذ
calle,شارع
ciudad,مدينة
pueblo,قرية
país,بلد
mundo,عالم
día,يوم
noche,ليل
mañana,صباح
tarde,مساء
ayer,أمس
hoy,اليوم
mañana (futuro),غدًا
semana,أسبوع
mes,شهر
año,سنة
hora,ساعة
minuto,دقيقة
segundo,ثانية
rojo,أحمر
azul,أزرق
verde,أخضر
amarillo,أصفر
negro,أسود
blanco,أبيض
marrón,بني
gris,رمادي
rosa,وردي
número,رقم
uno,واحد
dos,اثنان
tres,ثلاثة
cuatro,أربعة
cinco,خمسة
seis,ستة
siete,سبعة
ocho,ثمانية
nueve,تسعة
diez,عشرة
cien,مائة
mil,ألف
millón,مليون
grande,كبير
pequeño,صغير
nuevo,جديد
viejo,قديم
bueno,جيد
malo,سيء
bonito,جميل
feo,قبيح
fácil,سهل
difícil,صعب
rápido,سريع
lento,بطيء
caliente,حار
frío,بارد
feliz,سعيد
triste,حزين
fuerte,قوي
débil,ضعيف
joven,شاب
viejo,عجوز
alto,طويل
bajo,قصير
gordo,سمين
delgado,نحيف
importante,مهم
interesante,ممتع
caro,غالي
barato,رخيص
limpio,نظيف
sucio,متسخ
lleno,ممتلئ
vacío,فارغ
cerca,قريب
lejos,بعيد
arriba,فوق
abajo,تحت
dentro,داخل
fuera,خارج
antes,قبل
después,بعد
siempre,دائما
nunca,أبدا
a veces,أحيانا
mucho,كثير
poco,قليل
todos,الجميع
nadie,لا أحد
algo,شيء
nada,لا شيء
¿quién?,من؟
¿qué?,ماذا؟
¿dónde?,أين؟
¿cuándo?,متى؟
¿por qué?,لماذا؟
¿cómo?,كيف؟
aquí,هنا
allí,هناك
bien,جيد
mal,سيء
porque,لأن
con,مع
sin,بدون
sobre,على
bajo,تحت
frente,أمام
detrás,خلف
entre,بين
